2088;5421069108960380;06/07/2010;06/07/2014;3000.0;MasterCard ;Chastity Abdullah
2089;5421069108960380;02/06/2010;02/06/2014;3000.0;MasterCard ;Barbara Berry
2090;5421069108960380;09/08/2011;09/08/2015;3000.0;MasterCard ;Wendell Kindgren
2092;5421069108960390;06/06/2010;06/06/2014;3000.0;MasterCard ;Carol Yeauger
2093;5421069108960390;25/05/2010;25/05/2014;3000.0;MasterCard ;Gregory Schmitt
2094;5421069108960390;09/11/2010;09/11/2014;3000.0;MasterCard ;Carol Carter
2095;5421069108960390;29/01/2010;29/01/2014;3000.0;MasterCard ;Stephen Roger
2096;5421069108960390;23/01/2010;23/01/2014;3000.0;MasterCard ;Don Norquist
2097;5421069108960390;18/09/2010;18/09/2014;3000.0;MasterCard ;Wenona Hale
2098;5421069108960390;05/10/2010;05/10/2014;3000.0;MasterCard ;Vicki Montgomery
2099;5421069108960390;25/02/2012;25/02/2016;3000.0;MasterCard ;Tracy Doerr
2100;5421069108960390;31/01/2010;31/01/2014;3000.0;MasterCard ;David Smith
2102;5421069108960400;15/04/2011;15/04/2015;3000.0;MasterCard ;Caryl Abbott
2103;5421069108960400;11/02/2010;11/02/2014;3000.0;MasterCard ;Donna Pugh
2104;5421069108960400;17/05/2011;17/05/2015;3000.0;MasterCard ;Sandy Brannon
2105;5421069108960400;21/07/2010;21/07/2014;3000.0;MasterCard ;Maudie Kamley
2106;5421069108960400;20/04/2010;20/04/2014;3000.0;MasterCard ;Kevin Payne
2107;5421069108960400;03/05/2011;03/05/2015;3000.0;MasterCard ;Sonja Adams
2108;5421069108960400;28/06/2011;28/06/2015;3000.0;MasterCard ;Julianna Lund
2109;5421069108960400;13/01/2011;13/01/2015;3000.0;MasterCard ;J. Ryan Burmeister
2110;5421069108960400;14/11/2011;14/11/2015;3000.0;MasterCard ;Robert Davis
2112;5421069108960410;03/10/2011;03/10/2015;3000.0;MasterCard ;Mildred Mondragon
2113;5421069108960410;30/08/2010;30/08/2014;3000.0;MasterCard ;Ricco Compton
2114;5421069108960410;25/04/2011;25/04/2015;3000.0;MasterCard ;Donald Waddle
2115;5421069108960410;07/08/2010;07/08/2014;3000.0;MasterCard ;Scott Stoal
2116;5421069108960410;03/07/2011;03/07/2015;3000.0;MasterCard ;Paula James
2117;5421069108960410;31/01/2012;31/01/2016;3000.0;MasterCard ;Katherine Walker
2118;5421069108960410;29/02/2012;29/02/2016;3000.0;MasterCard ;Dirk Dewell
2119;5421069108960410;19/01/2011;19/01/2015;3000.0;MasterCard ;Jason Wilson
2120;5421069108960410;14/07/2012;14/07/2016;3000.0;MasterCard ;Lynn Vanover
2122;5421069108960420;03/03/2010;03/03/2014;3000.0;MasterCard ;Sharron Cavior
2123;5421069108960420;29/08/2011;29/08/2015;3000.0;MasterCard ;Carla Barukh
2124;5421069108960420;08/07/2012;08/07/2016;3000.0;MasterCard ;Rebecca Calahoo
2125;5421069108960420;12/09/2012;12/09/2016;3000.0;MasterCard ;Cecil Elliott
2126;5421069108960420;20/02/2010;20/02/2014;3000.0;MasterCard ;Barbara Barry
2127;5421069108960420;03/08/2011;03/08/2015;3000.0;MasterCard ;Hulda Srock
2128;5421069108960420;27/07/2012;27/07/2016;3000.0;MasterCard ;Raymond Stephens
2129;5421069108960420;14/12/2010;14/12/2014;3000.0;MasterCard ;Ona Buchan
2130;5421069108960420;20/07/2010;20/07/2014;3000.0;MasterCard ;Alan Goldstein
2132;5421069108960430;28/02/2011;28/02/2015;3000.0;MasterCard ;Diane Ardell
2133;5421069108960430;17/10/2010;17/10/2014;3000.0;MasterCard ;Priscilla Vicknair
2134;5421069108960430;10/07/2010;10/07/2014;3000.0;MasterCard ;Dora Kato
2135;5421069108960430;13/04/2010;13/04/2014;3000.0;MasterCard ;Dora Thompson
2136;5421069108960430;01/04/2010;01/04/2014;3000.0;MasterCard ;William Lusk
2137;5421069108960430;24/02/2011;24/02/2015;3000.0;MasterCard ;Earnest Gentz
2138;5421069108960430;31/03/2012;31/03/2016;3000.0;MasterCard ;Joe Broxton
2139;5421069108960430;05/03/2012;05/03/2016;3000.0;MasterCard ;Rachael Tatarowicz
2140;5421069108960430;23/04/2010;23/04/2014;3000.0;MasterCard ;Nathan Baca
2142;5421069108960440;23/03/2012;23/03/2016;3000.0;MasterCard ;Marie Heaney
2143;5421069108960440;07/05/2011;07/05/2015;3000.0;MasterCard ;David Umali
2144;5421069108960440;05/05/2010;05/05/2014;3000.0;MasterCard ;Christopher Cavior
2145;5421069108960440;11/11/2010;11/11/2014;3000.0;MasterCard ;Lewis Littleton
2146;5421069108960440;15/02/2012;15/02/2016;3000.0;MasterCard ;Frank Czarnecki
2147;5421069108960440;28/04/2012;28/04/2016;3000.0;MasterCard ;Gene Lundin
2148;5421069108960440;10/06/2011;10/06/2015;3000.0;MasterCard ;Jean Veregas
2149;5421069108960440;01/08/2011;01/08/2015;3000.0;MasterCard ;Patrick Beerbaum
2150;5421069108960440;26/03/2012;26/03/2016;3000.0;MasterCard ;Cheyrl Richardson
2152;5421069108960450;17/02/2012;17/02/2016;3000.0;MasterCard ;Bendt Waterhouse
2153;5421069108960450;12/11/2011;12/11/2015;3000.0;MasterCard ;Marvin Anderson
2154;5421069108960450;22/09/2010;22/09/2014;3000.0;MasterCard ;Nenita Van Sant
2155;5421069108960450;19/04/2010;19/04/2014;3000.0;MasterCard ;Louis Kovach
2156;5421069108960450;21/04/2010;21/04/2014;3000.0;MasterCard ;Amber Farmer
2157;5421069108960450;11/11/2011;11/11/2015;3000.0;MasterCard ;Craig Benzler
2158;5421069108960450;24/02/2011;24/02/2015;3000.0;MasterCard ;Patricia Espinoza
2159;5421069108960450;17/05/2012;17/05/2016;3000.0;MasterCard ;Heather Manchego
2160;5421069108960450;07/02/2011;07/02/2015;3000.0;MasterCard ;Ruth Antrim
2162;5421069108960460;28/02/2012;28/02/2016;3000.0;MasterCard ;Danielle Carzino
2163;5421069108960460;19/05/2010;19/05/2014;3000.0;MasterCard ;Jeanette White
2164;5421069108960460;13/09/2011;13/09/2015;3000.0;MasterCard ;Steven Gillespie
2165;5421069108960460;28/01/2010;28/01/2014;3000.0;MasterCard ;Joanne Lombardi
2166;5421069108960460;18/06/2010;18/06/2014;3000.0;MasterCard ;Denise Robertson
2167;5421069108960460;15/07/2011;15/07/2015;3000.0;MasterCard ;Leon Capella
2168;5421069108960460;01/07/2011;01/07/2015;3000.0;MasterCard ;Gwendolyn Thornlow
2169;5421069108960460;18/02/2011;18/02/2015;3000.0;MasterCard ;David Coakley
2170;5421069108960460;10/07/2012;10/07/2016;3000.0;MasterCard ;Robert Lewis
2172;5421069108960470;26/02/2011;26/02/2015;3000.0;MasterCard ;Mary Trujillo
2173;5421069108960470;17/07/2011;17/07/2015;3000.0;MasterCard ;Joyce Casaus
2174;5421069108960470;21/02/2011;21/02/2015;3000.0;MasterCard ;William Thomas
2175;5421069108960470;07/07/2012;07/07/2016;3000.0;MasterCard ;Reva Munoz
2176;5421069108960470;23/09/2012;23/09/2016;3000.0;MasterCard ;Micheline Sanchez
2177;5421069108960470;18/05/2010;18/05/2014;3000.0;MasterCard ;Laurie Augusts
2178;5421069108960470;13/08/2012;13/08/2016;3000.0;MasterCard ;Norman Wingeier
2179;5421069108960470;29/08/2012;29/08/2016;3000.0;MasterCard ;Calen Stevens
2180;5421069108960470;02/01/2011;02/01/2015;3000.0;MasterCard ;Elisa Alexander
2182;5421069108960480;26/12/2011;26/12/2015;3000.0;MasterCard ;Charlotte Hull
2183;5421069108960480;09/11/2011;09/11/2015;3000.0;MasterCard ;Ariana West
2184;5421069108960480;21/10/2010;21/10/2014;3000.0;MasterCard ;Kristy Brumfiled
2185;5421069108960480;19/10/2010;19/10/2014;3000.0;MasterCard ;Joe. Allaire
2186;5421069108960480;12/02/2010;12/02/2014;3000.0;MasterCard ;Anna Vicknair
2187;5421069108960480;07/05/2012;07/05/2016;3000.0;MasterCard ;Donald Wilkinson
2188;5421069108960480;05/03/2011;05/03/2015;3000.0;MasterCard ;Kate Veregas
2189;5421069108960480;16/12/2010;16/12/2014;3000.0;MasterCard ;Angela Ralph
2190;5421069108960480;03/12/2011;03/12/2015;3000.0;MasterCard ;Robert Soto
2192;5421069108960490;22/01/2011;22/01/2015;3000.0;MasterCard ;Matthew Tarr
2193;5421069108960490;23/09/2012;23/09/2016;3000.0;MasterCard ;Patrice Choin
2194;5421069108960490;15/02/2010;15/02/2014;3000.0;MasterCard ;Joan Barrett
2195;5421069108960490;01/07/2011;01/07/2015;3000.0;MasterCard ;Bonnie Andrews
2196;5421069108960490;19/07/2011;19/07/2015;3000.0;MasterCard ;Annamarie Takeda
2197;5421069108960490;02/04/2011;02/04/2015;3000.0;MasterCard ;Nadine Beitler
2198;5421069108960490;24/04/2012;24/04/2016;3000.0;MasterCard ;Karin Garcia
2199;5421069108960490;07/10/2011;07/10/2015;3000.0;MasterCard ;Gina Boje
2200;5421069108960490;19/05/2010;19/05/2014;3000.0;MasterCard ;Raja Pettit
2202;5421069108960500;06/10/2010;06/10/2014;3000.0;MasterCard ;Gregory Weis
2203;5421069108960500;17/09/2011;17/09/2015;3000.0;MasterCard ;Donna Steel
2204;5421069108960500;17/12/2010;17/12/2014;3000.0;MasterCard ;Joseph Vann
2205;5421069108960500;22/12/2010;22/12/2014;3000.0;MasterCard ;Kara Goldberg
2206;5421069108960500;01/04/2010;01/04/2014;3000.0;MasterCard ;Sonja Tubis
2207;5421069108960500;27/03/2012;27/03/2016;3000.0;MasterCard ;Marilyn Hall
2208;5421069108960500;16/06/2011;16/06/2015;3000.0;MasterCard ;Leila Norby
2209;5421069108960500;31/03/2012;31/03/2016;3000.0;MasterCard ;Fran Blackwood
2210;5421069108960500;19/01/2010;19/01/2014;3000.0;MasterCard ;Loretta Johnson
2212;5421069108960510;07/07/2010;07/07/2014;3000.0;MasterCard ;Renee Smith
2213;5421069108960510;05/10/2010;05/10/2014;3000.0;MasterCard ;Dixie Tejan
2214;5421069108960510;15/03/2011;15/03/2015;3000.0;MasterCard ;Ladawn Schuetz
2215;5421069108960510;28/05/2011;28/05/2015;3000.0;MasterCard ;Billy Wallin
2216;5421069108960510;13/03/2012;13/03/2016;3000.0;MasterCard ;Lori Moreno
2217;5421069108960510;16/08/2012;16/08/2016;3000.0;MasterCard ;Michael Dickson
2218;5421069108960510;13/09/2011;13/09/2015;3000.0;MasterCard ;Robert Maye
2219;5421069108960510;01/08/2011;01/08/2015;3000.0;MasterCard ;Jonathan Martinez
